1;Agencia de Cooperación Internacional del Japón JICA
2;AGSO Asociación de Ganaderos de la Sierra y Amazonía
3;AGUAFEPP
4;AIC. Fundación Acción Integral Comunitaria
5;ALTROPICO. Fundación Alternativas para el Desarrollo Sostenible en el Trópico
6;Andinatel
7;Area de Salud No. 8 Limones. Ministerio de Salud Pública
8;"Asociación Afro-Ecuatoriana ""Negros Avanzad"""
9;Asociación Agroartesanal 30 de noviembre
11;Asociación Agroartesanal de Caficultores Río Intaga AACRI
12;Asociación Agroartesanal El Progreso
13;Asociación Agroartesanal Esfuerzo de los Agricultores 23 de junio
14;Asociación Agroartesanal Los Ceibos
15;Asociación Agroartesanal Nueva Aurora
16;Asociación Agroartesanal Putumayo de la Tercera Edad
18;Asociación Agroartesanal Sansahuari
19;"Asociación Agropecuaria ""Luz y Vida"""
20;Asociación Agropecuaria Virgen del Cisne No. 5
21;"Asociación Artesanal ""Nuevo Futuro"" Aguas Negras"
22;Asociación de Artesanos Piscicultores La Gamitana
24;Asociación de Campesinos Indios y Negros de Putumayo Ecuador
25;Asociación de Colaboradores Voluntarios de Salud de Sucumbíos
26;Asociación de Comunidades Agropecuarias y Feria Libre del Cantón Shushufindi ACAFLSH
27;Asociación de Criadores de Pequeños Rumiantes de Ecuador
28;Asociación de Cunicultores de la Provincia de Esmeraldas
29;Asociación de Ganaderos del cantón Francisco de Orellana
30;Asociación de Indios y Negros de Putumayo ASINPE
31;Asociación de Jubilados de Tulcán
32;Asociación de Medicina Tradicional TSUTA
33;Asociación de Negros de la Provincia de Napo
34;Asociación de Negros de la Provincia de Orellana
35;Asociación de Negros de la Provincia de Sucumbíos
36;Asociación de Participación Social de Mujeres 28 de octubre
37;Asociación de Participación Social NAAT-Esmeraldas
38;Asociación de Pequeños Cavicultores de Imbabura
39;Asociación de Producción  y Comercialización Agropecuaria Ranchera del Norte
40;Asociación de Productores de Cacao del Norte de Esmeraldas
41;Asociación de Productores de Coco Tolita Pampa de Oro. ASOPROCO
42;Asociación de Productores de Especies Bioacuáticas de Esmeraldas
43;Asociación de Recicladores de Orellana
44;Asociación de Trabajadores Agrícolas Tufiño
45;Asociación de Trabajadores Agropecuarios Pusir Grande
46;"Asociación de Trabajadores Autónomos ""Virgen del Cisne"""
47;Asociación de Tricicleros 31 de julio
48;Asociación Manuel J. Bastidas
49;Asociación Nacional de Exportadores de Café
50;Asociación Turística Brisas del Río Napo
51;Autoridad Portuaria de Esmeraldas
52;Banco del Estado
53;Banco Interamericano de Desarrollo BID
54;Banco Mundial
55;Barrio El Porvenir
56;Batallón No. 55 Putumayo. FF.AA.
57;Bochinche Producciones
58;Cámara de Agricultura de la Cuarta Zona
59;Cámaras de Comercio
60;CARE
61;CATI Imbabura
62;CECAFEC Centro Ecuatoriano de Capacitación y Formación de Educadores de la Calle
63;CECI Centro de Estudios y Cooperación Internacional
64;CECIM Comité Ecuatoriano de Cooperación con la Comisión Interamericana de Mujeres
65;CEDERUMA. Corporación de Estudios de Desarrollo Rural y Marginal CEDERUMA
66;CEISAN
67;Cemaprimes Cia. Ltda. Consultores
68;Cemaprimes Cía. Ltda. Consultores
69;CEMOPLAF Centro Médico de Orientación y Planificación Familiar
70;Central de Comunidades Indígenas de Antonio Ante CCIAA
71;Centro Agrícola Cantonal Sachas
72;Centro Agrícola Cantonal San Lorenzo
73;Centro Agrícola San Lorenzo
74;Centro de Rescate Cultural Elias Andy
75;CEPCU
76;CEPCU Centro de Estudios Pluriculturales
77;COCARAE. Corporación de Organizaciones Campesinas de la Región Amazónica Ecuatoriana
78;CODENPE Consejo de Desarrollo de las Nacionalidades y Pueblos del Ecuador
79;Colegio Intercultural Bilingüe Mondayacu
80;Colegio Nacional Mixto El Reventador
81;Colegio Nacional Técnico Shushufindi
82;Colegio Técnico Agropecuario Intercultural Bilingüe Río Canandé
83;Colegio Técnico de Agricultura San Lorenzo
84;Colegio Técnico Fiscomisional Rocafuerte
85;Colegio Técnico Segundo Orellana
86;COMAFORS
87;Comisión Europea
88;Comitato Internazionale per lo Sviluppo dei Popoli. CISP
89;"Comité de desarrollo comunitario ""18 de noviembre"""
90;Comité de Desarrollo de los Recintos ubicados en la Cuenca del Río Colope
91;Comité Pro-Mejoras Comunidad El Garbanzal
92;Comuna Río Santiago-Cayapas
93;Comunidad Awa
94;Comunidad de Amazonía
95;Comunidad de amazonía y CORECAF
96;Comunidad de Bolívar y Consejo Provincial del Carchi
97;Comunidad de Carchi e Imbabura y MACRENA
98;Comunidad de Carchi e Imbabura y Pesae
99;Comunidad de Carchi y Altropico
100;Comunidad de Carchi y APCARN
101;Comunidad de Carchi y Fenovi
102;Comunidad de Carchi y FEPP
103;Comunidad de Carchi y Fundación El Artesón
104;Comunidad de Carchi y MCCH
105;Comunidad de cuenca del río Mira y Guayllabamba y Fundación Manantial
106;Comunidad de Cuyabeno y Municipio
108;Comunidad de Eloy Alfaro y FUNDEAL
109;Comunidad de Eloy Alfaro, Esmeraldas y AAENA
110;Comunidad de Esmeraldas y ASOPROCO
111;Comunidad de Esmeraldas y COMAFORS
112;Comunidad de Esmeraldas y Corporación Río Santiago
113;Comunidad de Esmeraldas y Cruz Roja
114;Comunidad de Esmeraldas y FEDA
115;Comunidad de Esmeraldas y Fundación Fernando Godoy
116;Comunidad de Esmeraldas y Fundación SAME
117;Comunidad de Espejo y FUNPAD
118;Comunidad de Imbabura e INTERCOOPERATION
119;Comunidad de Imbabura y Carchi y FUNPAD
120;Comunidad de Imbabura y Corsinor
121;Comunidad de Imbabura, Carchi y FEDECAI
122;Comunidad de Lago Agrio y FEDA
123;Comunidad de Limoncocha
124;Comunidad de Napo y Consejo Provincial de Napo
125;Comunidad de Napo y Fundación Minga
126;Comunidad de Orellana y Consejo Provincial
127;Comunidad de Orellana y Sucumbíos y FEPP
128;Comunidad de Otavalo y Antonio Ante (Imbabura) y DRI-COTACACHI
129;Comunidad de Puerto El Carmen de Putumayo y OEA-CICAD
130;Comunidad de Putumayo y Municipio de Putumayo
131;Comunidad de Recinto Amazonas
132;Comunidad de San Lorenzo y MAE
133;Comunidad de San Vicente
134;Comunidad de Sucumbíos y Consejo Provincial
135;Comunidad de Sucumbíos y CORECAF
136;Comunidad de Sucumbíos y FEPP
137;Comunidad de Tulcán y Municipio de Tulcán
138;Comunidad de Tuquer
139;Comunidad de Urcuquí y Municipio
140;Comunidad y MCCH
141;Comunidad y Municipio de Archidona
142;Comunidad y Municipio de Cuyabeno
143;CONAICE Confederación de Nacionalidades Indígenas de la Costa Ecuatoriana
144;CONFENIAE. Confederación de Nacionalidades Indígenas de la Región Amazónica
145;Congreso Nacional
146;Consejo Cantonal de Salud de Tena
147;Consejo Nacional de Electricidad
148;Consejo Nacional de Telecomunicaciones
149;Consejo Provincial de Carchi
150;Consejo Provincial de Esmeraldas
151;Consejo Provincial de Imbabura
152;Consejo Provincial de Napo
153;Consejo Provincial de Orellana
154;Consejo Provincial de Sucumbíos
155;Constructora Bueno&Castro
156;Cooperativa Agropecuaria y Forestal 8 de diciembre
157;Cooperativa de Ahorro y Crédito COCA Ltda.
158;"Cooperativa de Pescadores Artesanales ""Agropestur"""
159;"Cooperativa de Pescadores Artesanales ""Ancón de Sardinas"""
160;Cooperativa de Pescadores Artesanales Evangélicos Betel
161;Cooperativa de Producción Agrícola Ganadera Vencedores de Chical
162;Cooperativa de Vivienda 9 de febrero
163;Coordinación Central de las Comunidades Indígenas CHACHI Zona Norte, Central y Sur en la Provincia de Esmeraldas
164;Coordinadora Política de Mujeres de Tulcán
165;COPAPAC Consorcio de Organizaciones de Productores Agrícolas, Pecuarios y Agroartesanales del Carchi
166;CORECAF Corporación Ecuatoriana de Cafetaleros
167;CORPCONSUL Cía. Ltda. Corporación de Consultores
168;Corporación Coordinadora Nacional para la Defensa del Manglar
169;Corporación de Autogestión Empresarial CORPAE
170;Corporación de Desarrollo Zona Norte de Esmeraldas Río Santiago
171;Corporación de Organizaciones Agro-artesanales Sustentables del Ecuador
172;Corporación para la Investigación Energética CIE
173;Corporación Reserva Biósfera Sumaco
174;Corporación Río Manduriacu
175;CORSINOR Corporción de Desarrollo de la Sierra Norte
176;COSMATUR Corporación de Servicios Medio Ambientales y Turísticos del Ecuador
177;CROPLIFE
178;CRS Catholic Relief Services
179;Cruz Roja Ecuatoriana. Junta Provincial de Esmeraldas
180;Cruz Roja Ecuatoriana. Sede Central
181;Cruz Roja Francesa
182;Dirección General de Aviación Civil
183;Dirección Provincial Agropecuaria de Sucumbíos. Ministerio de Agricultura y Ganadería
184;Dirección Provincial de Educación Intercultural Bilingüe de Sucumbíos
185;Dirección Provincial de Salud de Orellana
186;DRI-Cotacachi
191;ECOLEX. Corporación de Gestión y Derecho Ambiental
192;ECORAE. Instituto para el Ecodesarrollo Regional Amazónico
193;Electrocasa
194;Empresa de Agua Potable de Ambuquí
195;Empresa Municipal de Agua Potable y Alcantarillado de Ibarra
196;Empresa Nacional de Ferrocarriles
197;Escuela Politécnica Nacional EPN
198;FBU. Fundación Brethren Unida
199;FEAPEC. Fundación Ecuatoriana de Apoyo a la Pequeña Empresa Comunitaria
